Қазақстан,2,
カザフスタン,1,
Japan Pavilion,1,
Review,1,https://appadvice.com/app/astana-expo-japan/1236403228
Ultra Sound,1,
Advertisement,1,https://www.youtube.com/watch?v=9cYuR5NAUn0
iOS,2,
Android,2,
非可聴域通信,1,
Crypotone,3,https://www.youtube.com/watch?v=Uv9AZMJy9aU
Powered by IAMAS,2,http://www.interaction-ipsj.org/archives/paper2013/data/Interaction2013/interactive/data/pdf/1EXB-41.pdf
映像連動,1,
sound interlocking,1,
Sound ID,1,
日本,1,
書,1,
一体,1,
伝統,1,
ニュース,2,https://www.youtube.com/watch?v=9cYuR5NAUn0
Management,1,
プロジェクト,1,
マネジメント,1,
